Nested Sampling Global Log-Evidence           :   -0.671882811203947349E+05  +/-    0.318538203097772032E+00
Nested Importance Sampling Global Log-Evidence:   -0.669549309890560544E+05  +/-    0.999973949853463551E+00

Dim No.       Mean        Sigma
   1    0.512064133795863157E+02    0.000000000000000000E+00
   2   -0.460577684338567828E+00    0.000000000000000000E+00
   3    0.279956763834071864E+00    0.000000000000000000E+00
   4    0.696304747338210461E+00    0.000000000000000000E+00
   5   -0.690984079209287838E+00    0.000000000000000000E+00
   6   -0.123505422508218898E+01    0.000000000000000000E+00
   7    0.252832398739699649E-02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.512064133795863157E+02
   2   -0.460577684338567828E+00
   3    0.279956763834071864E+00
   4    0.696304747338210461E+00
   5   -0.690984079209287838E+00
   6   -0.123505422508218898E+01
   7    0.252832398739699649E-02

MAP Parameters
Dim No.        Parameter
   1    0.512064133795863157E+02
   2   -0.460577684338567828E+00
   3    0.279956763834071864E+00
   4    0.696304747338210461E+00
   5   -0.690984079209287838E+00
   6   -0.123505422508218898E+01
   7    0.252832398739699649E-02
