Nested Sampling Global Log-Evidence           :   -0.683725707891973798E+03  +/-    0.312162112448926887E+00
Nested Importance Sampling Global Log-Evidence:   -0.687194685951454971E+03  +/-    0.381415825398909933E-01

Dim No.       Mean        Sigma
   1    0.763075944311036665E+02    0.138953340093415747E+02
   2   -0.468830862590825348E+00    0.525399987630022006E-01
   3    0.361165980973129741E+00    0.234379841220240220E+00
   4   -0.143549728832477130E+00    0.413069409649400643E+00
   5   -0.129918580731017141E+00    0.110396306452390380E+01
   6   -0.315183436168767067E-01    0.109327650789231368E+01
   7    0.233408436548809828E-02    0.139409344988203829E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.871612741401951325E+02
   2   -0.456695443184004457E+00
   3    0.299738265493832756E+00
   4   -0.473723948993132637E+00
   5    0.594250920503522906E-01
   6   -0.141213548174900216E+01
   7    0.246649416782340758E-02

MAP Parameters
Dim No.        Parameter
   1    0.871612741401951325E+02
   2   -0.456695443184004457E+00
   3    0.299738265493832756E+00
   4   -0.473723948993132637E+00
   5    0.594250920503522906E-01
   6   -0.141213548174900216E+01
   7    0.246649416782340758E-02
