    0.719353579262602665E+02   -0.273569164952772059E+00   -0.421735371149893012E+00   -0.796497699694285188E-01   -0.404021648797465271E+00   -0.119264267585833728E+01    0.692797315617887932E-04   -0.118474772034275247E+04
    0.856170652029270798E+02   -0.441413314606361684E+00    0.515589260092985668E+00   -0.440045841111533775E+00   -0.514078840757339561E+00    0.192276304610017101E+01    0.307836353375501304E-03   -0.118433665698770960E+04
    0.911509041651141558E+02   -0.503398121716711167E+00    0.501067164101048235E+00   -0.566688566049137421E+00    0.465168151934509666E-01   -0.616382291677810557E-01    0.174494985354245458E-01   -0.118122606319122974E+04
    0.803910405809183857E+02   -0.423141141803611731E+00    0.279602407741684544E+00   -0.295058299128271528E+00    0.107464709493469979E+00    0.767852815354985729E+00    0.123791214415103212E-02   -0.118070115366467326E+04
    0.968578959326660822E+02   -0.436677380379550506E+00    0.294857283436368078E+00   -0.696977761612700419E+00    0.629459238224994166E-01    0.119379594806062661E+01    0.238669589591622433E-02   -0.117998746991145140E+04
    0.566011482599445443E+02   -0.322939722798171402E+00   -0.175398932568961996E+00    0.449441863850374546E+00    0.450459867586320950E+00   -0.114590877910762190E+01    0.144688154879024644E-02   -0.117960390663261387E+04
    0.704261414585916867E+02   -0.421713626323385160E+00    0.182978293672260151E+00   -0.250795141828490387E-01    0.921461973750473451E+00   -0.359190516555289108E+00    0.709817095390752328E-03   -0.117941886692213393E+04
    0.572115799421780196E+02   -0.331185098781912046E+00   -0.275281694968978030E+00    0.433253653710877984E+00    0.637937104278179401E+00    0.414040263710507617E+00    0.214695168303657979E-02   -0.117936995879579536E+04
    0.800235733895089254E+02   -0.493722538056883042E+00    0.662711851520674244E+00   -0.287435293959454441E+00   -0.193426846260926921E+01    0.600738216720992924E-01    0.120016681100754141E-02   -0.117907744862260688E+04
    0.932334929951457809E+02   -0.345557557413820327E+00   -0.267226436407877799E+00   -0.632155164664631286E+00    0.310562225582065032E+00    0.634843009390857027E+00    0.977080394345852810E-03   -0.117903102816577325E+04
    0.595576870561277332E+02   -0.521807331340740532E+00    0.630051568124228467E+00    0.351197618798906319E+00    0.502277192128173677E+00   -0.764504343324156732E+00    0.202805038497300139E-02   -0.117897029430145813E+04
    0.658635752932309515E+02   -0.546972734592189980E+00    0.822838190754085375E+00    0.143633104765825692E+00    0.608118823445482626E+00    0.459506205838907000E+00    0.304915981243447654E-02   -0.117896347269691387E+04
    0.715435284356666301E+02   -0.476923304118168190E+00    0.474118786535644432E+00   -0.504162214165262412E-01    0.591596439923796957E+00   -0.127217338153826476E+01    0.349211804330273878E-02   -0.117881496614396792E+04
    0.652327502257739127E+02   -0.384051347342801996E+00   -0.156228806023664291E+00    0.150191815264484774E+00   -0.828174029428222713E+00   -0.534512916118412562E-01    0.305412075996192023E-02   -0.117878800516070896E+04
    0.600809732793351330E+02   -0.425806555348015703E+00    0.357188929354318674E+00    0.328722008957235801E+00    0.761822548798972043E+00    0.387432807225149389E+00    0.163061722025004130E-02   -0.117876707968994606E+04
    0.793424002141188680E+02   -0.500994060628377369E+00    0.369047112907081143E+00   -0.260856579646535636E+00    0.179927828386623023E+00   -0.497979245413391780E+00    0.129892550917753979E-02   -0.117875104926987888E+04
