Nested Sampling Global Log-Evidence           :   -0.948106706140097685E+03  +/-    0.324064960103851996E+00
Nested Importance Sampling Global Log-Evidence:   -0.950344111226547966E+03  +/-    0.327256518981206945E+00

Dim No.       Mean        Sigma
   1    0.816717712544516843E+02    0.123564014918895602E+02
   2   -0.459118649750717922E+00    0.402118798777830119E-01
   3    0.315826642404035185E+00    0.191674215648163893E+00
   4   -0.304827554918376209E+00    0.343126160184750673E+00
   5    0.242440351225974120E-01    0.109082028969089562E+01
   6   -0.151506306842409094E+00    0.110758659876544763E+01
   7    0.167702552435491687E-02    0.114346408777199720E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.603431430660340027E+02
   2   -0.445544821831958870E+00
   3    0.260859381625337505E+00
   4    0.325339177902094434E+00
   5   -0.181652527963998733E+01
   6   -0.183904278905773610E+01
   7    0.201039425219895485E-02

MAP Parameters
Dim No.        Parameter
   1    0.603431430660340027E+02
   2   -0.445544821831958870E+00
   3    0.260859381625337505E+00
   4    0.325339177902094434E+00
   5   -0.181652527963998733E+01
   6   -0.183904278905773610E+01
   7    0.201039425219895485E-02
