Nested Sampling Global Log-Evidence           :   -0.299093092807449707E+02  +/-    0.366742506856170380E+00
Nested Importance Sampling Global Log-Evidence:   -0.335036388813517050E+02  +/-    0.228937649838717276E-01

Dim No.       Mean        Sigma
   1    0.753544754065500939E+02    0.140440816009717295E+02
   2   -0.551277173832766643E+00    0.407145641024797209E-01
   3    0.407195481196787223E+00    0.225670130454100532E+00
   4   -0.120626417911707001E+00    0.417346809160318466E+00
   5    0.121265096034451389E+00    0.199983789245803435E-01
   6    0.122214294093550280E+00    0.203619463164275254E-01
   7    0.301746962800331364E-01    0.461838532989532983E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.849981518203789790E+02
   2   -0.575571202378207580E+00
   3    0.531173112687197246E+00
   4   -0.419569019859217462E+00
   5    0.128102359193072779E+00
   6    0.123491005608830307E+00
   7    0.281228366116759165E-01

MAP Parameters
Dim No.        Parameter
   1    0.849981518203789790E+02
   2   -0.575571202378207580E+00
   3    0.531173112687197246E+00
   4   -0.419569019859217462E+00
   5    0.128102359193072779E+00
   6    0.123491005608830307E+00
   7    0.281228366116759165E-01
