Nested Sampling Global Log-Evidence           :   -0.262477680598109657E+02  +/-    0.342049844186376517E+00
Nested Importance Sampling Global Log-Evidence:   -0.293060111569214179E+02  +/-    0.486304282148710826E-01

Dim No.       Mean        Sigma
   1    0.761888638806246803E+02    0.145686079661614301E+02
   2   -0.549122791735319304E+00    0.774471807371065052E-01
   3    0.411717413251755537E+00    0.385113432915253684E+00
   4   -0.142308998807419429E+00    0.431017134074305530E+00
   5    0.132553388795031091E+00    0.522915319095405007E-01
   6    0.131652783779949656E+00    0.495367024018838198E-01
   7    0.303074994028374838E-01    0.102377758813485750E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.717294568627193314E+02
   2   -0.555351998909404898E+00
   3    0.389966054572649767E+00
   4   -0.492451341513486796E-01
   5    0.111323470687882953E+00
   6    0.133234928879839565E+00
   7    0.285635897138432071E-01

MAP Parameters
Dim No.        Parameter
   1    0.717294568627193314E+02
   2   -0.555351998909404898E+00
   3    0.389966054572649767E+00
   4   -0.492451341513486796E-01
   5    0.111323470687882953E+00
   6    0.133234928879839565E+00
   7    0.285635897138432071E-01
